"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1916 0.315113661625947 4 8 "GO:0000915;GO:0000912;GO:0044837;GO:0032506" "cytokinetic process" 0.725491695060319
247 0.75594052053383 2 46 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.927262571058569
-3350 0.0495450169182385 3 10 "GO:0000959" "mitochondrial RNA metabolic process" 0.378649473189615
5978 0.0132039686782204 2 5 "GO:0001508" "action potential" 0.205904109946524
1452 0.162126847906222 2 27 "GO:0001510" "RNA methylation" 0.558433175700867
-2430 0.154287069454506 2 10 "GO:0001522" "pseudouridine synthesis" 0.556905405621599
-153 0.92157934668314 3 12 "GO:0001525" "angiogenesis" 0.979721817622822
-1940 0.341321391781375 2 7 "GO:0001541" "ovarian follicle development" 0.745785033271335
321 0.710774660016648 3 39 "GO:0001558" "regulation of cell growth" 0.917340673621119
-760 0.672494726061959 2 9 "GO:0001568" "blood vessel development" 0.917340673621119
-1291 0.557682623045331 2 6 "GO:0001578" "microtubule bundle formation" 0.878099777197959
2930 0.0354167305400583 2 15 "GO:0001649" "osteoblast differentiation" 0.328675043308563
-1524 0.206408259055189 2 20 "GO:0001654" "eye development" 0.615131327890661
973 0.431658908998096 2 19 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.816235359004398
-2638 0.195668612314632 6 7 "GO:0001676" "long-chain fatty acid metabolic process" 0.595757371663567
-52 0.976793977343985 4 9 "GO:0001678" "intracellular glucose homeostasis" 0.997024774697376
-303 0.881889291650345 2 7 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.9708535793905
-274 0.829404078603407 2 18 "GO:0001701" "in utero embryonic development" 0.95167356573448
-2525 0.29511613760353 4 5 "GO:0001707;GO:0001704" "mesoderm formation" 0.713273656578315
622 0.744277373896451 3 8 "GO:0001708" "cell fate specification" 0.923726251705021
-183 0.891820275101468 2 16 "GO:0001709" "cell fate determination" 0.973770903920429
3170 0.0104414882774223 2 19 "GO:0001731" "formation of translation preinitiation complex" 0.194485024724544
5 0.998097068250057 2 6 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.999280348710342
-899 0.709262733230901 2 5 "GO:0001745" "compound eye morphogenesis" 0.917340673621119
2981 0.175753706898872 3 6 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.569765855954309
179 0.940728987859097 6 5 "GO:0001752;GO:0042706;GO:0046552" "eye photoreceptor cell fate commitment" 0.988731338204116
2102 0.242298771004018 2 9 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 0.665435161342742
-10 0.996345172145856 2 6 "GO:0001755;GO:0090497" "neural crest cell migration" 0.999280348710342
-1075 0.54984009893047 2 9 "GO:0001756" "somitogenesis" 0.87455050537659
-1663 0.285615514135013 2 12 "GO:0001764" "neuron migration" 0.705643602348998
620 0.550499972638006 4 27 "GO:0001817" "regulation of cytokine production" 0.87455050537659
533 0.754856020706925 2 10 "GO:0001818" "negative regulation of cytokine production" 0.927237686526543
974 0.470023054324754 2 16 "GO:0001819" "positive regulation of cytokine production" 0.84005033529916
1789 0.294263042520049 2 10 "GO:0001822" "kidney development" 0.713273656578315
-884 0.642955643264612 5 8 "GO:0001837;GO:0048762" "epithelial to mesenchymal transition" 0.906532077202078
1954 0.41783848092984 5 5 "GO:0001838;GO:0072175" "embryonic epithelial tube formation" 0.810165313630019
1084 0.505060296768338 3 11 "GO:0001843;GO:0060606" "neural tube closure" 0.858196017345798
3926 0.05411281514455 2 7 "GO:0001885" "endothelial cell development" 0.390583524697201
-498 0.759564524790397 2 11 "GO:0001889" "liver development" 0.927607656798259
-1001 0.48734058672564 2 14 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 0.842085176311637
442 0.455828826032372 7 83 "GO:0001932;GO:0042325" "regulation of phosphorylation" 0.828775616846429
-1564 0.0470543096176155 6 47 "GO:0001933;GO:0031400;GO:0042326;GO:0045936;GO:0010563" "negative regulation of phosphorus metabolic process" 0.3687579352832
2503 0.00539825721451813 2 36 "GO:0001934;GO:0042327" "positive regulation of phosphorylation" 0.148292589663914
-60 0.973342635812581 4 9 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.995745434214082
861 0.159502171199256 2 78 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.558433175700867
366 0.879527159273346 3 5 "GO:0002011" "morphogenesis of an epithelial sheet" 0.9708535793905
2257 0.0552495743813106 3 21 "GO:0002064" "epithelial cell development" 0.390958840910229
195 0.924021291868585 2 7 "GO:0002088" "lens development in camera-type eye" 0.980321584149523
-365 0.879854264264206 2 5 "GO:0002090" "regulation of receptor internalization" 0.9708535793905
-1909 0.349167164015491 2 7 "GO:0002098;GO:0002097" "tRNA wobble uridine modification" 0.756081205156621
795 0.641192101427039 2 10 "GO:0002119;GO:0002164" "larval development" 0.906532077202078
2335 0.0743977745593891 2 17 "GO:0002181" "cytoplasmic translation" 0.437798373775377
-2451 0.229246778197965 2 7 "GO:0002200" "somatic diversification of immune receptors" 0.643734591933853
2391 0.277581354441841 2 6 "GO:0002224;GO:0002221;GO:0070423;GO:0002753;GO:0035872" "pattern recognition receptor signaling pathway" 0.69871074165763
1942 0.163269326106412 2 15 "GO:0002237" "response to molecule of bacterial origin" 0.558433175700867
-2551 0.181027999797185 4 8 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.579175216295962
-1783 0.16086174302084 2 18 "GO:0002252" "immune effector process" 0.558433175700867
338 0.543852500701396 1 94 "GO:0002376" "immune system process" 0.874384149924626
1891 0.0636811693207917 5 28 "GO:0002429;GO:0002757;GO:0002768;GO:0002253;GO:0002764" "immune response-regulating signaling pathway" 0.421898894769339
770 0.749459888396721 3 5 "GO:0002443" "leukocyte mediated immunity" 0.923969161680337
1534 0.305411589024503 2 13 "GO:0002521" "leukocyte differentiation" 0.71787436670583
-1259 0.6016923080317 2 5 "GO:0002562;GO:0016444" "somatic diversification of immune receptors via germline recombination within a single locus" 0.893082644450217
2556 0.209880468541803 5 7 "GO:0002573" "myeloid leukocyte differentiation" 0.621908967310711
1662 0.41506948592703 2 7 "GO:0002576" "platelet degranulation" 0.806734593476126
813 0.168097238444895 2 84 "GO:0002682" "regulation of immune system process" 0.563338047085161
-2121 0.104986110161487 2 17 "GO:0002683" "negative regulation of immune system process" 0.482255277512715
-934 0.548534760247357 2 12 "GO:0002697" "regulation of immune effector process" 0.87455050537659
766 0.688024088617343 5 8 "GO:0002699" "positive regulation of immune effector process" 0.917340673621119
-502 0.805510070112424 5 7 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.950321483544997
861 0.721025717168083 2 5 "GO:0002702" "positive regulation of production of molecular mediator of immune response" 0.917340673621119
3607 0.0045695666629005 3 18 "GO:0002758;GO:0002218" "activation of innate immune response" 0.13459073228177
1011 0.595978302520316 2 8 "GO:0002761" "regulation of myeloid leukocyte differentiation" 0.890845696000111
1270 0.564212576050285 5 6 "GO:0002822;GO:0002819" "regulation of adaptive immune response" 0.884823622051004
409 0.550919688972133 2 62 "GO:0002831;GO:0031347" "regulation of defense response" 0.87455050537659
-2233 0.310478046886556 3 6 "GO:0002920" "regulation of humoral immune response" 0.721113954400978
99 0.897277191796374 2 50 "GO:0003002" "regionalization" 0.973770903920429
472 0.325539457663623 2 127 "GO:0003006" "developmental process involved in reproduction" 0.733423500225887
-1966 0.414984613485504 2 5 "GO:0003007" "heart morphogenesis" 0.806734593476126
949 0.0334949925684581 2 147 "GO:0003008" "system process" 0.319621708746473
1179 0.305596015193305 3 22 "GO:0003013" "circulatory system process" 0.71787436670583
3464 0.0540509743478723 2 9 "GO:0003018" "vascular process in circulatory system" 0.390583524697201
46 0.969637483586836 3 20 "GO:0003333;GO:0006865" "amino acid transport" 0.994968231942993
1069 0.657697253438976 4 5 "GO:0003341" "cilium movement" 0.912777864468718
-1477 0.00226956338131052 3 125 "GO:0005975" "carbohydrate metabolic process" 0.0999668939255851
245 0.823868381391001 5 24 "GO:0005977;GO:0006112;GO:0044042;GO:0005976" "polysaccharide metabolic process" 0.951169080255943
177 0.917384407808728 2 10 "GO:0005978;GO:0009250;GO:0000271" "polysaccharide biosynthetic process" 0.979386179045241
647 0.704477038715947 5 10 "GO:0005980;GO:0009251;GO:0000272" "polysaccharide catabolic process" 0.917340673621119
-3243 0.0199092238795222 2 15 "GO:0006006" "glucose metabolic process" 0.233518605086896
-4041 0.000134506065025286 2 26 "GO:0006022" "aminoglycan metabolic process" 0.01293304279021
-4196 0.0395633458578786 2 7 "GO:0006023" "aminoglycan biosynthetic process" 0.3444458306905
-4991 0.0385455787128974 2 5 "GO:0006024" "glycosaminoglycan biosynthetic process" 0.339080637740019
-892 0.661885074398515 2 7 "GO:0006029" "proteoglycan metabolic process" 0.91481477682623
-4664 0.00182458089456845 3 13 "GO:0006032;GO:0006026;GO:1901072;GO:0046348" "glucosamine-containing compound catabolic process" 0.0880490608836032
-1556 0.12723268106953 2 28 "GO:0006066" "alcohol metabolic process" 0.519108474285506
-752 0.589484735258322 3 15 "GO:0006081" "cellular aldehyde metabolic process" 0.890845696000111
-1054 0.517069169498947 2 11 "GO:0006085;GO:0006084;GO:0071616;GO:0035384" "acetyl-CoA metabolic process" 0.859157456762513
-1392 0.164852878231045 4 29 "GO:0006090" "pyruvate metabolic process" 0.558433175700867
-2061 0.000218636079047188 3 94 "GO:0006091" "generation of precursor metabolites and energy" 0.0175845875005095
-2831 0.0969761450346222 5 10 "GO:0006094;GO:0019319;GO:0046364" "monosaccharide biosynthetic process" 0.477167308214792
-1292 0.30980538073411 2 18 "GO:0006096" "glycolytic process" 0.721113954400978
-1460 0.544910750242484 3 5 "GO:0006098;GO:0051156" "pentose-phosphate shunt" 0.874384149924626
-2300 0.0176789894767866 3 31 "GO:0006099" "tricarboxylic acid cycle" 0.22659778966494
-2266 0.129855751437357 2 13 "GO:0006108" "malate metabolic process" 0.525230704926045
-3960 0.100650042286568 2 5 "GO:0006119" "oxidative phosphorylation" 0.478554580757305
-1551 0.48118368238623 3 6 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.842085176311637
-152 0.929029784406923 3 10 "GO:0006122" "mitochondrial electron transport, ubiquinol to cytochrome c" 0.981491022033224
-3662 0.0963259969696064 5 6 "GO:0006123" "mitochondrial electron transport, cytochrome c to oxygen" 0.477110289975558
159 0.929526744924985 4 9 "GO:0006144" "purine nucleobase metabolic process" 0.981491022033224
-280 0.538195169216475 2 142 "GO:0006163;GO:0072521" "purine-containing compound metabolic process" 0.872002920170545
-171 0.938231589444013 -1 6 "GO:0006165" "obsolete nucleoside diphosphate phosphorylation" 0.987335298798092
-731 0.720006012830999 4 7 "GO:0006167" "AMP biosynthetic process" 0.917340673621119
-2138 0.29427718108758 3 7 "GO:0006177" "GMP biosynthetic process" 0.713273656578315
3945 0.0529847421242721 7 7 "GO:0006182;GO:0046068" "cGMP metabolic process" 0.389569096456829
-3788 0.0853599822864409 4 6 "GO:0006188" "IMP biosynthetic process" 0.458018301011961
-5583 0.0206402556449363 4 5 "GO:0006195" "purine nucleotide catabolic process" 0.235549944488496
-1822 0.285575574489893 4 10 "GO:0006206" "pyrimidine nucleobase metabolic process" 0.705643602348998
-3037 0.167775957589125 3 6 "GO:0006207;GO:0019856" "pyrimidine nucleobase biosynthetic process" 0.563338047085161
506 0.8038284347945 4 7 "GO:0006213" "pyrimidine nucleoside metabolic process" 0.950321483544997
-1298 0.154939866109383 3 35 "GO:0006221;GO:0006220;GO:0072528" "pyrimidine nucleotide metabolic process" 0.557299825875972
58 0.969364745628744 7 13 "GO:0006241;GO:0009209;GO:0046036;GO:0009148;GO:0009208" "pyrimidine ribonucleoside triphosphate metabolic process" 0.994968231942993
-2028 1.85158133178192e-09 2 259 "GO:0006259" "DNA metabolic process" 2.839444483694e-06
-3433 1.06110424499721e-05 3 48 "GO:0006260" "DNA replication" 0.00144763164929999
-2067 0.184435840586166 4 12 "GO:0006261" "DNA-templated DNA replication" 0.585549125469989
-134 0.955652713074629 3 5 "GO:0006268" "DNA unwinding involved in DNA replication" 0.991544348009739
-1877 0.228089137645209 3 12 "GO:0006270" "DNA replication initiation" 0.642070922471263
-2251 0.269552874113054 2 7 "GO:0006271;GO:0022616" "DNA strand elongation" 0.691816252486115
-3097 0.0179434343805505 3 17 "GO:0006275" "regulation of DNA replication" 0.22659778966494
-1609 0.000398437038786337 3 142 "GO:0006281" "DNA repair" 0.0249244503151898
-2051 0.395101769099566 5 5 "GO:0006282" "regulation of DNA repair" 0.793492137941935
478 0.758838406099426 6 12 "GO:0006283" "transcription-coupled nucleotide-excision repair" 0.927607656798259
-3444 0.0213576715207526 4 13 "GO:0006284" "base-excision repair" 0.238894749659279
-508 0.588925005505947 5 33 "GO:0006289" "nucleotide-excision repair" 0.890845696000111
477 0.828359964112533 2 6 "GO:0006294;GO:0070911;GO:0000717" "nucleotide-excision repair, preincision complex assembly" 0.951169080255943
525 0.783028162382744 -1 8 "GO:0006296" "obsolete nucleotide-excision repair, DNA incision, 5'-to lesion" 0.941415408136026
-2568 0.0749499588206478 6 14 "GO:0006298" "mismatch repair" 0.437798373775377
-1296 0.196012187863326 2 29 "GO:0006302" "double-strand break repair" 0.595757371663567
-2183 0.365522705774182 6 5 "GO:0006303" "double-strand break repair via nonhomologous end joining" 0.767077550454633
-3224 0.113739412588764 2 7 "GO:0006308" "DNA catabolic process" 0.497683595498504
-1207 0.142545763088235 6 43 "GO:0006310" "DNA recombination" 0.539820165596477
-2892 0.156069253940858 2 7 "GO:0006312" "mitotic recombination" 0.558433175700867
-2137 0.0929445266557362 3 18 "GO:0006334;GO:0034728" "nucleosome organization" 0.468817972737057
-976 0.183996892629808 3 54 "GO:0006338" "chromatin remodeling" 0.585255652828146
114 0.804802176961538 2 137 "GO:0006351" "DNA-templated transcription" 0.950321483544997
-354 0.7106573430634 2 32 "GO:0006352" "DNA-templated transcription initiation" 0.917340673621119
-1974 0.170972552655159 2 14 "GO:0006353" "DNA-templated transcription termination" 0.563958379695434
-505 0.0293820346231517 5 558 "GO:0006355;GO:2001141;GO:0051252;GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.295394383800614
-510 0.16498410578729 2 218 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.558433175700867
-44 0.984264061809573 3 6 "GO:0006363;GO:0006362" "termination of RNA polymerase I transcription" 0.999231758893935
1054 0.0490309875221701 2 102 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.376424263295206
-203 0.812482412829975 2 40 "GO:0006366" "transcription by RNA polymerase II" 0.951169080255943
-131 0.911556444270976 2 21 "GO:0006367" "transcription initiation at RNA polymerase II promoter" 0.978156819805386
-25 0.985143877705701 2 16 "GO:0006368;GO:0006354" "DNA-templated transcription elongation" 0.999231758893935
-3049 0.0899196753526121 3 9 "GO:0006369" "termination of RNA polymerase II transcription" 0.467032611075223
-290 0.846312269682923 8 13 "GO:0006370;GO:0009452;GO:0036260" "7-methylguanosine RNA capping" 0.956134731434419
-918 0.65245778635132 3 7 "GO:0006378" "mRNA polyadenylation" 0.908492334004435
666 0.696263365083963 2 10 "GO:0006383" "transcription by RNA polymerase III" 0.917340673621119
-1316 0.585337018681943 5 5 "GO:0006388;GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.890845696000111
-5 0.987804760338509 3 327 "GO:0006396" "RNA processing" 0.999231758893935
-133 0.768783088479985 4 144 "GO:0006397" "mRNA processing" 0.932142596154124
-215 0.647773349226183 4 132 "GO:0006399" "tRNA metabolic process" 0.906532077202078
-1489 0.0980325967735541 7 36 "GO:0006400" "tRNA modification" 0.477167308214792
175 0.806847654495382 3 57 "GO:0006401" "RNA catabolic process" 0.950324747867992
2115 0.157500959420286 2 13 "GO:0006403" "RNA localization" 0.558433175700867
-1323 0.272885647583508 2 20 "GO:0006406;GO:0006405" "RNA export from nucleus" 0.693435935164011
-947 0.694625563473616 5 5 "GO:0006409;GO:0051031;GO:0097064;GO:0007077" "tRNA transport" 0.917340673621119
239 0.480384324550308 2 257 "GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "amide metabolic process" 0.842085176311637
618 0.338964916785347 3 70 "GO:0006413" "translational initiation" 0.743521746039547
225 0.779386879335639 2 45 "GO:0006414" "translational elongation" 0.939703385034345
-3060 0.133375547913731 2 7 "GO:0006415" "translational termination" 0.529761444573592
486 0.375688236490314 2 97 "GO:0006417;GO:0010608;GO:0034248" "post-transcriptional regulation of gene expression" 0.776667602732118
525 0.419712640276061 3 69 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.810165313630019
2651 0.27185524192713 2 5 "GO:0006429" "leucyl-tRNA aminoacylation" 0.692554304094906
5675 0.0186483675331123 9 5 "GO:0006434" "seryl-tRNA aminoacylation" 0.22659778966494
785 0.721638660890515 2 6 "GO:0006438" "valyl-tRNA aminoacylation" 0.917340673621119
1575 0.122518394492832 2 28 "GO:0006446" "regulation of translational initiation" 0.505950044739348
2528 0.159819735162354 2 9 "GO:0006450" "regulation of translational fidelity" 0.558433175700867
-819 0.104337069629951 2 115 "GO:0006457" "protein folding" 0.482255277512715
99 0.964098028426511 4 6 "GO:0006465" "signal peptide processing" 0.993509194638424
482 0.182486442235672 2 225 "GO:0006468" "protein phosphorylation" 0.581546416860472
-2585 0.0189493720330885 4 24 "GO:0006469;GO:0033673;GO:0051348" "negative regulation of transferase activity" 0.226753982972787
4 0.994846159847828 4 66 "GO:0006470" "protein dephosphorylation" 0.999280348710342
-88 0.97092265292117 -1 5 "GO:0006471" "obsolete protein ADP-ribosylation" 0.995077888825155
-450 0.571788238636454 2 46 "GO:0006473;GO:0043543;GO:0016573;GO:0018393;GO:0006475;GO:0018394" "protein acylation" 0.886704174397516
3871 0.108537146088693 4 5 "GO:0006474" "N-terminal protein amino acid acetylation" 0.484717621214048
403 0.594372638609223 5 51 "GO:0006479;GO:0008213" "protein methylation" 0.890845696000111
-2007 0.00584526336206759 3 55 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.152498541088666
-2391 0.0475545640054816 2 20 "GO:0006487" "protein N-linked glycosylation" 0.3687579352832
-646 0.691459032642284 2 11 "GO:0006493" "protein O-linked glycosylation" 0.917340673621119
-2133 0.0935415374851322 2 18 "GO:0006497" "protein lipidation" 0.468817972737057
-1120 0.557085562153993 5 8 "GO:0006506;GO:0006505;GO:0009247;GO:0046467" "membrane lipid biosynthetic process" 0.878099777197959
899 0.00553133993417795 4 281 "GO:0006508" "proteolysis" 0.148292589663914
1276 0.00334735074845165 2 155 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in protein catabolic process" 0.124353684582404
-2476 0.260818680123093 3 6 "GO:0006513" "protein monoubiquitination" 0.689372159689818
-2984 0.117689484570571 2 8 "GO:0006515" "protein quality control for misfolded or incompletely synthesized proteins" 0.504843381399776
-674 0.0968167383265556 3 178 "GO:0006520" "amino acid metabolic process" 0.477167308214792
4169 0.0103793221197012 4 11 "GO:0006521;GO:0033238;GO:0002479;GO:0042590;GO:0002474;GO:0002478;GO:0019884" "antigen processing and presentation of exogenous peptide antigen" 0.194485024724544
1615 0.369232710787221 2 9 "GO:0006534;GO:0009070" "serine family amino acid biosynthetic process" 0.767077550454633
668 0.681095215687434 6 11 "GO:0006536" "glutamate metabolic process" 0.917340673621119
-2146 0.151424824603152 2 13 "GO:0006541" "glutamine metabolic process" 0.555992453814617
-5287 0.0163576884300396 2 6 "GO:0006542" "glutamine biosynthetic process" 0.219270918716959
-846 0.587177579238629 2 12 "GO:0006544" "glycine metabolic process" 0.890845696000111
-5275 0.00334973222154903 2 9 "GO:0006560" "proline metabolic process" 0.124353684582404
-8702 7.75573146526252e-05 2 6 "GO:0006561" "proline biosynthetic process" 0.0087329536298856
1005 0.598116648468991 2 8 "GO:0006563" "L-serine metabolic process" 0.890845696000111
-6372 0.00380603557804895 5 6 "GO:0006567;GO:0006566" "threonine metabolic process" 0.125272283319011
2822 0.138954977418509 6 8 "GO:0006568;GO:0006586;GO:0042430" "indole-containing compound metabolic process" 0.537059397848654
-2447 0.0184679340645872 2 27 "GO:0006575" "cellular modified amino acid metabolic process" 0.22659778966494
293 0.833514952802131 4 15 "GO:0006576;GO:0009308" "amine metabolic process" 0.95217789658362
415 0.678505049789425 2 29 "GO:0006605" "protein targeting" 0.917340673621119
-3589 0.0211831475566996 2 12 "GO:0006607" "NLS-bearing protein import into nucleus" 0.238894749659279
-2248 0.351287236652151 3 5 "GO:0006611" "protein export from nucleus" 0.757698968897943
574 0.680490524548439 3 15 "GO:0006614;GO:0006613;GO:0006612" "protein targeting to membrane" 0.917340673621119
4211 0.0808750382697135 3 5 "GO:0006623" "protein targeting to vacuole" 0.449082667808414
-1880 1.75530693998187e-06 3 190 "GO:0006629" "lipid metabolic process" 0.000323594307047978
-4306 3.36227884392421e-09 4 55 "GO:0006631" "fatty acid metabolic process" 2.839444483694e-06
-2635 0.0782125813490777 5 13 "GO:0006633;GO:0072330" "monocarboxylic acid biosynthetic process" 0.443292113753665
-1612 0.263491068380299 6 14 "GO:0006637;GO:0035383" "acyl-CoA metabolic process" 0.689978937200504
-2426 0.314618523194473 2 5 "GO:0006639;GO:0006638" "acylglycerol metabolic process" 0.725491695060319
-841 0.508274157553643 4 18 "GO:0006643" "membrane lipid metabolic process" 0.859157456762513
167 0.834032281846737 2 46 "GO:0006644" "phospholipid metabolic process" 0.95217789658362
-506 0.558365400065487 2 39 "GO:0006650;GO:0046486" "glycerolipid metabolic process" 0.878099777197959
-603 0.569089715979175 3 26 "GO:0006661;GO:0046488" "phosphatidylinositol metabolic process" 0.886704174397516
-2000 0.218844083803314 2 11 "GO:0006664;GO:1903509" "glycolipid metabolic process" 0.628934967047541
915 0.631439790596534 2 8 "GO:0006665" "sphingolipid metabolic process" 0.904368167969058
-4627 0.0100697849893342 2 9 "GO:0006694" "steroid biosynthetic process" 0.193520471549146
-3440 0.013521379652194 3 15 "GO:0006720" "isoprenoid metabolic process" 0.205904109946524
-2878 0.0236414861274604 2 18 "GO:0006730" "one-carbon metabolic process" 0.255964551726158
-2171 0.146742504756837 2 13 "GO:0006739" "NADP metabolic process" 0.548336483482959
-3367 0.0986089030179822 2 7 "GO:0006740" "NADPH regeneration" 0.477229086468295
-2175 0.367283046743489 2 5 "GO:0006741" "NADP biosynthetic process" 0.767077550454633
-2661 0.118833412726663 5 10 "GO:0006744;GO:0006743;GO:1901663;GO:1901661;GO:0042181" "quinone metabolic process" 0.504843381399776
-1271 0.378235791610505 2 14 "GO:0006749" "glutathione metabolic process" 0.77717792217779
